,Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Subject to Cap,Band,GMEs,PMPs,Auth limit,Unfulfilled Quota,GMT,EGMs
17581,LIQH400101279,Liquor - hotel licence,1954-11-23 00:00:00,Current,1954-11-23 00:00:00,Trading,Civic Hotel,388 Pitt St,SYDNEY,2000.0,-33.877943,151.207736,Sydney,Sydney CBD Precinct,Metropolitan,Andreas Papas,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,30,0,30,0,30,30
17623,LIQH400102534,Liquor - hotel licence,1954-08-09 00:00:00,Current,1954-08-09 00:00:00,Trading,The 3 Wise Monkeys Pub,553-555 George St,SYDNEY,2000.0,-33.876204,151.205993,Sydney,Sydney CBD Precinct,Metropolitan,DOGROW PTY. LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,19,0,19,0,19,19
17632,LIQH400104243,Liquor - hotel licence,1954-07-12 00:00:00,Current,1954-07-12 00:00:00,Trading,Babylon Restaurant and Garden Bar,L 7 188 Pitt St,SYDNEY,2000.0,-33.870124,151.208902,Sydney,Sydney CBD Precinct,Metropolitan,JIMMY'S ON THE MALL PTY LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,15,0,15,0,15,0
17672,LIQH400101163,Liquor - hotel licence,1954-03-22 00:00:00,Current,1954-03-22 00:00:00,Trading,The Century Bar,"L 4, 640 George St",SYDNEY,2000.0,-33.876307,151.206468,Sydney,Sydney CBD Precinct,Metropolitan,Wenfei Yao,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,15,0,15,0,15,15
17777,LIQH400105533,Liquor - hotel licence,1952-11-17 00:00:00,Current,1952-11-17 00:00:00,Trading,V Bar Sydney,109-111 Liverpool St,SYDNEY,2000.0,-33.876811,151.207169,Sydney,Sydney CBD Precinct,Metropolitan,Thaniya Jantarasakhar,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,23,6,29,0,29,29
17812,LIQH400111592,Liquor - hotel licence,1952-05-01 00:00:00,Current,1952-05-01 00:00:00,Trading,Establishment Hotel,248-252 George St,SYDNEY,2000.0,-33.864137,151.208061,Sydney,Sydney CBD Precinct,Metropolitan,Ryan Singer,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,29,0,29,0,29,29
17814,LIQH400105355,Liquor - hotel licence,1952-04-28 00:00:00,Current,1952-04-28 00:00:00,Trading,Hotel CBD,52 King St,SYDNEY,2000.0,-33.868557,151.205644,Sydney,Sydney CBD Precinct,Metropolitan,Matthew Scott,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,15,0,15,0,15,15
17817,LIQH400100418,Liquor - hotel licence,1952-03-24 00:00:00,Current,1952-03-24 00:00:00,Trading,Mary's Underground,29 Reiby Pl,SYDNEY,2000.0,-33.862663,151.209888,Sydney,Sydney CBD Precinct,Metropolitan,MARY'S UNDERGROUND PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
17837,LIQH400106203,Liquor - hotel licence,1951-10-22 00:00:00,Current,1951-10-22 00:00:00,Trading,The Republic Hotel,69-73 Pitt St,SYDNEY,2000.0,-33.863857,151.208758,Sydney,Sydney CBD Precinct,Metropolitan,Barton Underhill,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,28,0,28,0,28,26
17857,LIQH400101465,Liquor - hotel licence,1951-06-26 00:00:00,Current,1951-06-26 00:00:00,Trading,Coronation Hotel,7 Park St,SYDNEY,2000.0,-33.873283,151.207699,Sydney,Sydney CBD Precinct,Metropolitan,Glenn Pengilley,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,24,5,29,0,29,29
17912,LIQH400105940,Liquor - hotel licence,1950-06-26 00:00:00,Current,1950-06-26 00:00:00,Trading,Le Pub,B 66 King St,SYDNEY,2000.0,-33.868517,151.206303,Sydney,Sydney CBD Precinct,Metropolitan,ETYMON 66 KING PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
17978,LIQH400103476,Liquor - hotel licence,1949-04-20 00:00:00,Current,1949-04-20 00:00:00,Trading,Hyatt Regency Sydney,161 Sussex St,SYDNEY,2000.0,-33.870027,151.203257,Sydney,Sydney CBD Precinct,Metropolitan,Jane Lyons,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
18018,LIQH400102682,Liquor - hotel licence,1948-09-27 00:00:00,Current,1948-09-27 00:00:00,Trading,Grand Hotel,30 Hunter St,SYDNEY,2000.0,-33.865457,151.208288,Sydney,Sydney CBD Precinct,Metropolitan,Daniel West,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,29,0,29,0,29,29
18073,LIQH400103697,Liquor - hotel licence,1948-04-23 00:00:00,Current,1948-04-23 00:00:00,Trading,Ibis Sydney Darling Harbour,70 Murray St,SYDNEY,2000.0,-33.871015,151.19788,Sydney,,Metropolitan,PEARL HOTELS D 1993 PTY LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
18397,LIQH400102283,Liquor - hotel licence,1941-11-03 00:00:00,Current,2020-10-21 00:00:00,Trading,Ivy,320-346 George St,SYDNEY,2000.0,-33.866318,151.207657,Sydney,Sydney CBD Precinct,Metropolitan,Thomas Andrews,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,29,1,30,0,30,30
18416,LIQH400104596,Liquor - hotel licence,1939-12-13 00:00:00,Current,1939-12-13 00:00:00,Trading,Paragon Hotel,L 7 1 Macquarie Pl,SYDNEY,2000.0,-33.862027,151.209875,Sydney,Sydney CBD Precinct,Metropolitan,Peter Ryan,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,17,0,17,0,17,17
18427,LIQH400105495,Liquor - hotel licence,1938-12-19 00:00:00,Current,1938-12-19 00:00:00,Trading,Shark Hotel,127 Liverpool St,SYDNEY,2000.0,-33.876919,151.208052,Sydney,Sydney CBD Precinct,Metropolitan,Dean Jones,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,15,15,30,0,30,30
18467,LIQH400104154,Liquor - hotel licence,1932-03-30 00:00:00,Current,1932-03-30 00:00:00,Trading,Surry Hills Hotel,Elizabeth & Campbell Sts,SYDNEY,2000.0,-33.880008,151.209235,Sydney,Sydney CBD Precinct,Metropolitan,Kieran Blanch,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Surry Hills,No,2,22,8,30,0,30,30
18490,LIQH400105606,Liquor - hotel licence,1927-07-25 00:00:00,Current,1927-07-25 00:00:00,Trading,Ryan's Bar,Australia Square G Pitt St,SYDNEY,2000.0,-33.864949,151.207955,Sydney,Sydney CBD Precinct,Metropolitan,Katarina Irvine,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,20,0,20,0,20,20
